name,type,class,tea,num,time,site
中国传统文化概论,文科类,1,王亚生,180,"17-18周,星期2, 10-12节 2-16周,星期2, 10-11节 ", (阶梯B311室)(阶梯B311室)
中国传统文化概论,文科类,2,王亚生,180,"17-18周,星期3, 10-12节 2-16周,星期3, 10-11节 ", (阶梯B310室)(阶梯B310室)
体育舞蹈,艺术类,1,梁云峰,100,"17-18周,星期1, 10-12节 2-16周,星期1, 10-11节 ", (体育中心舞台)(体育中心舞台)
体育舞蹈,艺术类,2,梁云峰,100,"17-18周,星期2, 10-12节 2-16周,星期2, 10-11节 ", (体育中心舞台)(体育中心舞台)
体育舞蹈,艺术类,3,梁云峰,100,"17-18周,星期3, 10-12节 2-16周,星期3, 10-11节 ", (体育中心舞台)(体育中心舞台)
体育舞蹈,艺术类,4,梁云峰,100,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (体育中心舞台)(体育中心舞台)
体育舞蹈,艺术类,5,梁云峰,100,"17-18周,星期5, 10-12节 2-16周,星期5, 10-11节 ", (体育中心舞台)(体育中心舞台)
体育舞蹈,艺术类,6,梁云峰,100,"17-18周,星期7, 10-12节 2-16周,星期7, 10-11节 ", (体育中心舞台)(体育中心舞台)
财务管理,文科类,1,刘长涛,250,"17-18周,星期1, 7-9节 2-16周,星期1, 7-8节 ", (弧形多媒体1室)(弧形多媒体1室)
财务管理,文科类,2,刘长涛,250,"17-18周,星期2, 7-9节 2-16周,星期2, 7-8节 ", (弧形多媒体1室)(弧形多媒体1室)
财务管理,文科类,3,刘长涛,250,"17-18周,星期1, 10-12节 2-16周,星期1, 10-11节 ", (弧形多媒体1室)(弧形多媒体1室)
财务管理,文科类,4,刘长涛,250,"17-18周,星期2, 10-12节 2-16周,星期2, 10-11节 ", (弧形多媒体1室)(弧形多媒体1室)
外贸英语函电与单证（文科类）,其他类,1,黄永全,150,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (主楼107)(主楼107)
经济地理(其他类),其他类,1,梅汉宁,180,"17-18周,星期1, 10-12节 2-16周,星期1, 10-11节 ", (阶梯B311室)(阶梯B311室)
